sent_id,token_id,pos,token
1,1,NNP,Sound
1,2,VBZ,is
1,3,DT,a
1,4,NN,vibration
1,5,.,.
2,1,NNP,Sound
2,2,VBZ,travels
2,3,IN,as
2,4,DT,a
2,5,JJ,mechanical
2,6,NN,wave
2,7,IN,through
2,8,DT,a
2,9,NN,medium
2,10,,,
2,11,CC,and
2,12,IN,in
2,13,NN,space
2,14,",",
2,15,EX,there
2,16,VBZ,is
2,17,DT,no
2,18,NN,medium
2,19,.,.
3,1,RB,So
3,2,WRB,when
3,3,PRP$,my
3,4,NN,shuttle
3,5,JJ,malfunctioned
3,6,CC,and
3,7,DT,the
3,8,NNS,airlocks
3,9,VBD,did
3,10,RB,n't
3,11,VB,keep
3,12,DT,the
3,13,NN,air
3,14,IN,in
3,15,,,
3,16,PRP,I
3,17,VBD,heard
3,18,NN,nothing
3,19,.,.
